None,Vanilla,Multithreaded,Cryptographic Hash,Multithreaded Cryptographic Hash,Multithreaded Cryptographic Hash and Plain Model
3175.477787,6528.66045,4509.042664,3369.82056,3208.548139,4604.401074
3087.859152,6731.802504,4583.867484,3195.953796,3206.011747,4795.985828
3181.588094,6756.856006,4646.823149,3152.129271,3257.668651,4708.153526
3155.172174,6648.407492,4648.581746,3273.834689,3199.381251,4565.086341
3916.672139,7640.226057,5655.880183,4001.80678,4047.035777,5683.350888
3917.822786,7768.292396,5599.383282,3999.832388,4010.062715,5682.391666
3904.555058,7766.400597,5618.976063,4079.285511,3964.015437,5588.657363
3878.453089,7731.529375,5571.635233,4049.13022,4036.684864,5639.085029
264.850287,4049.185941,1688.111838,373.91922,360.028088,1668.685295
270.842893,3766.381762,1597.54842,399.500872,367.365248,1758.859377
267.53746,3748.70604,1645.167216,384.345275,358.946803,1654.971426
259.595661,3881.589833,1620.585389,379.69422,372.423344,1654.657435
