None,Vanilla,Multithreaded,Cryptographic Hash,Multithreaded Cryptographic Hash,Multithreaded Cryptographic Hash and Plain Model
102581.8042,139721.8022,114836.4284,104007.7669,102352.0229,115451.5963
102574.9672,139939.0155,118692.2368,108449.5652,105884.3783,125065.7627
102000.4074,135716.425,119157.4134,104992.6881,107738.3133,122728.2195
102394.4121,140273.8185,121640.3174,109854.8765,103065.1422,123940.0867
120703.6592,155085.3405,130492.2476,125522.6529,122621.7425,132127.3144
121417.9867,152084.783,129966.7298,124614.7149,122201.2727,133163.8094
121493.0014,152473.5434,130815.7542,122294.8942,121665.741,133291.192
121210.1174,152476.9136,130759.4551,121231.0612,123095.4227,132541.2015
5526.25998,35763.49901,15758.23841,6501.72015,5651.0235,16160.46515
5221.536975,35965.75854,15355.14357,5713.259655,5517.104025,15684.49923
5334.549165,35616.85601,15215.36109,5864.5089,5744.68389,15881.48783
5187.472335,36216.15759,15980.35773,6009.29628,5713.089105,16238.81502
